commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Chur,233.0,4.3,0.6,"Islandpferd  49, Freiberger  28, Esel Rasse unbekannt  25, Europäisches Sportpferd Deutschland  22, Europäisches Sportpferd Schweiz  20",
Estavayer,201.0,5.0,2.0,"Islandpferd  33, Freiberger  31, Europäisches Sportpferd Schweiz  30, Shetland Pony  18, Europäisches Sportpferd Deutschland  10, Europäisches Sportpferd Frankreich  10",
Muntogna da Schons,12.0,0.2,3.3,,
Salvan,12.0,0.2,0.8,Esel Rasse unbekannt  9,
Centovalli,15.0,0.3,1.3,Esel Rasse unbekannt  11,
Schwyz,101.0,1.9,0.7,"Esel Rasse unbekannt  18, Europäisches Sportpferd Schweiz  17, Haflinger  14, Europäisches Sportpferd Deutschland  12, Freiberger  10",
Bürglen (UR),16.0,0.3,0.4,Freiberger  12,
Trun,91.0,1.8,7.8,"Esel Rasse unbekannt  39, Araber  15, Freiberger  11",
Arzier-Le Muids,18.0,0.3,0.6,Freiberger  6,
Visperterminen,36.0,0.7,2.7,"Freiberger  13, Haflinger  5, Paso  5",
Bern,568.0,11.0,0.4,"Europäisches Sportpferd Schweiz  174, Europäisches Sportpferd Deutschland  64, Freiberger  53, Shetland Pony  46, Europäisches Sportpferd Holland  24",
Wattwil,179.0,3.5,2.0,"Freiberger  32, Esel Rasse unbekannt  28, Islandpferd  23, Haflinger  16, Comtois  12",
Köniz,314.0,6.2,0.7,"Shetland Pony  56, Freiberger  49, Europäisches Sportpferd Schweiz  40, Esel Rasse unbekannt  21, Europäisches Sportpferd Deutschland  20",
Habkern,14.0,0.3,2.2,Esel Rasse unbekannt  8,
Lostallo,65.0,1.3,7.7,Esel Rasse unbekannt  43,
Mosnang,93.0,1.8,3.2,"Shetland Pony  23, Esel Rasse unbekannt  22, Freiberger  12, Islandpferd  7, Pony Schweiz  7",
Flims,71.0,1.4,2.4,"Islandpferd  30, Esel Rasse unbekannt  12, Freiberger  7",
Samedan,75.0,0.7,2.6,"Esel Rasse unbekannt  13, Araber  8, Europäisches Sportpferd Deutschland  7, Islandpferd  7, Quarter Horse  7",
Oberems,13.0,0.3,10.8,,
Innerthal,,,,,
Seewis im Prättigau,21.0,0.4,1.5,"Europäisches Sportpferd Schweiz  7, Esel Rasse unbekannt  5",
Neckertal,,,,,
Walenstadt,46.0,1.0,0.8,"Esel Rasse unbekannt  13, Shetland Pony  10, Freiberger  8",
Rougemont,14.0,0.3,1.6,Esel Rasse unbekannt  7,
Churwalden,93.0,1.9,4.8,"Esel Rasse unbekannt  21, Freiberger  13, Islandpferd  12, Shetland Pony  8, Haflinger  5",
Arth,114.0,2.7,0.9,"Esel Rasse unbekannt  47, Europäisches Sportpferd Deutschland  11, Europäisches Sportpferd Schweiz  9, Freiberger  8, Shetland Pony  6, Sportpony Deutschland  6",
Langnau im Emmental,241.0,5.0,2.6,"Freiberger  89, Europäisches Sportpferd Schweiz  33, Shetland Pony  33, Esel Rasse unbekannt  28, Pony Schweiz  9",
Urnäsch,52.0,1.1,2.3,"Freiberger  11, Europäisches Sportpferd Schweiz  10, Esel Rasse unbekannt  7, Shetland Pony  7, Islandpferd  5",
Evionnaz,12.0,0.2,0.9,Shetland Pony  7,
Brienz (BE),31.0,0.6,1.0,"Esel Rasse unbekannt  10, Shetland Pony  5",
Châtel-Saint-Denis,102.0,2.1,1.4,"Freiberger  60, Esel Rasse unbekannt  13",
Amden,8.0,0.2,0.4,Esel Rasse unbekannt  7,
Ried-Brig,37.0,0.8,1.7,"Haflinger  13, Shetland Pony  6",
Willisau,243.0,5.1,2.7,"Europäisches Sportpferd Schweiz  39, Europäisches Sportpferd Deutschland  28, Freiberger  24, Islandpferd  19, Shetland Pony  16",
Trin,32.0,0.7,2.2,,
Attinghausen,41.0,0.9,2.3,"Freiberger  7, Shetland Pony  6",
Val Terbi,126.0,2.7,3.9,"Freiberger  48, Europäisches Sportpferd Schweiz  14, Esel Rasse unbekannt  13, Shetland Pony  8, Pony Schweiz  6",
Lungern,13.0,0.3,0.6,Esel Rasse unbekannt  6,
Unteriberg,29.0,0.6,1.2,"Shetland Pony  8, Esel Rasse unbekannt  6, Europäisches Sportpferd Schweiz  5",
Soazza,77.0,1.7,23.8,Esel Rasse unbekannt  74,
Andeer,12.0,0.3,1.3,,
Brusio,33.0,0.7,2.9,"Haflinger  11, Esel Rasse unbekannt  9, Pony Schweiz  5",
Oberwil im Simmental,8.0,0.2,1.0,,
Domleschg,111.0,2.4,5.1,"Islandpferd  22, Esel Rasse unbekannt  14, Freiberger  12, Europäisches Sportpferd Schweiz  10, Haflinger  8, Shetland Pony  8",
Ruswil,312.0,6.9,4.4,"Europäisches Sportpferd Schweiz  120, Freiberger  41, Shetland Pony  31, Europäisches Sportpferd Deutschland  25, Europäisches Sportpferd Belgien  18",
Schwarzenburg,356.0,7.9,5.2,"Freiberger  73, Europäisches Sportpferd Schweiz  59, Shetland Pony  41, Esel Rasse unbekannt  27, Europäisches Sportpferd Holland  25, Pony Schweiz  25",
Silvaplana,28.0,0.6,2.5,"Freiberger  7, Quarter Horse  7",
Montreux,32.0,1.0,0.1,"Esel Rasse unbekannt  23, Freiberger  6",
Ebnat-Kappel,76.0,1.7,1.5,"Esel Rasse unbekannt  17, Shetland Pony  10, Freiberger  9, Islandpferd  9, Haflinger  6",
Mont-Noble,63.0,1.4,5.7,"Esel Rasse unbekannt  21, Freiberger  12, Shetland Pony  11",
Campo (Vallemaggia),8.0,0.2,16.3,Esel Rasse unbekannt  7,
Grüsch,31.0,0.7,1.5,"Islandpferd  13, Esel Rasse unbekannt  8, Freiberger  5",
Trimmis,51.0,1.2,1.5,"Islandpferd  23, Esel Rasse unbekannt  6, Freiberger  5",
Kirchberg (SG),199.0,4.7,2.2,"Esel Rasse unbekannt  31, Europäisches Sportpferd Deutschland  24, Freiberger  23, Shetland Pony  22, Europäisches Sportpferd Schweiz  17",
Vaz/Obervaz,84.0,2.0,3.0,"Freiberger  21, Esel Rasse unbekannt  13, Haflinger  7, Noriker  7",
