commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Bourg-Saint-Pierre,163.0,1.8,77.3,"Weisses_Alpenschaf  123, Spiegelschaf  26, Schwarzbraunes_Bergschaf  11",
St. Niklaus,664.0,7.4,29.9,"Walliser_Schwarznasenschaf  356, Kreuzung  49, Weisses_Alpenschaf  39, Nolana  30, Schwarzbraunes_Bergschaf  25",Fuxji  5
Lugano,181.0,2.4,0.3,"Kreuzung  58, Weisses_Alpenschaf  28, Ouessant  16, Schwarzbraunes_Bergschaf  10, Engadinerschaf  5, Kamerunschaf  5",
Adelboden,397.0,4.5,11.9,"Schwarzbraunes_Bergschaf  243, Ile_de_France_Suisse  23, Kreuzung  21, Walliser_Schwarznasenschaf  21, Weisses_Alpenschaf  12",
Wildhaus-Alt St. Johann,1269.0,14.5,48.4,"Weisses_Alpenschaf  287, Kreuzung  222, Schwarzbraunes_Bergschaf  135, Spiegelschaf  52, Dorper  45",Norbert  11
Riviera,445.0,5.1,10.5,"Weisses_Alpenschaf  343, Ouessant  20, Skudde  10",
Zwischbergen,671.0,7.8,945.1,Walliser_Schwarznasenschaf  525,Schl  7
Nendaz,221.0,2.6,3.2,"Walliser_Schwarznasenschaf  80, Ouessant  63, Skudde  30, Weisses_Alpenschaf  16, Texel  15",
Giswil,602.0,7.0,16.4,"Weisses_Alpenschaf  90, Kreuzung  72, Skudde  69, Spiegelschaf  53, Texel  52",
Conthey,515.0,6.1,5.8,"Weisses_Alpenschaf  350, Schwarzbraunes_Bergschaf  35, Walliser_Schwarznasenschaf  21, Spiegelschaf  19, Kreuzung  17",
Luzein,952.0,11.3,59.6,"Lacaune  219, Weisses_Alpenschaf  168, Kreuzung  149, Spiegelschaf  103, Suffolk  26",Rosa  6
Gurtnellen,309.0,3.7,60.4,"Weisses_Alpenschaf  144, Engadinerschaf  28, Kreuzung  14, Suffolk  12, Walliser_Schwarznasenschaf  5",
Unterschächen,1465.0,18.2,210.8,"Weisses_Alpenschaf  476, Kreuzung  272, Schwarzbraunes_Bergschaf  167, Suffolk  35, Braunkoepfiges_Fleischschaf  20",
Realp,3886.0,49.9,2736.6,"Kreuzung  794, Weisses_Alpenschaf  301, Schwarzbraunes_Bergschaf  236, Walliser_Schwarznasenschaf  206, Shropshire  72, Suffolk  72",
Boltigen,466.0,6.0,37.3,"Schwarzbraunes_Bergschaf  112, Braunkoepfiges_Fleischschaf  109, Kreuzung  102, Weisses_Alpenschaf  10, Texel  8",Silvia  12
Sarnen,761.0,10.4,7.2,"Schwarzbraunes_Bergschaf  236, Kreuzung  152, Weisses_Alpenschaf  93, Dorper  48, Skudde  35",
Quinto,93.0,1.2,9.3,"Skudde  61, Weisses_Alpenschaf  23",
Bedretto,1464.0,19.5,1435.3,"Weisses_Alpenschaf  244, Walliser_Schwarznasenschaf  201, Spiegelschaf  159, Schwarzbraunes_Bergschaf  125, Texel  33",
Flums,3584.0,47.7,72.2,"Kreuzung  814, Weisses_Alpenschaf  249, Schwarzbraunes_Bergschaf  177, Spiegelschaf  163, Engadinerschaf  90","Luna  7, Ella  5, Susi  5"
Ferrera,517.0,6.9,654.4,"Weisses_Alpenschaf  432, Schwarzbraunes_Bergschaf  12",
Engelberg,740.0,9.9,17.6,"Weisses_Alpenschaf  215, Kreuzung  162, Schwarzbraunes_Bergschaf  80, Skudde  58, Spiegelschaf  33",
Quarten,267.0,4.3,8.9,"Kreuzung  118, Heidschnucke  63, Weisses_Alpenschaf  23, Shropshire  8",
Zweisimmen,241.0,3.3,7.9,"Lacaune  117, Kreuzung  63, Weisses_Alpenschaf  26, Schwarzbraunes_Bergschaf  18, Walliser_Schwarznasenschaf  7",
Frutigen,303.0,4.2,4.3,"Engadinerschaf  65, Schwarzbraunes_Bergschaf  62, Texel  49, Weisses_Alpenschaf  49, Ouessant  22",
Haute-Sorne,747.0,10.5,10.4,"Lacaune  225, Schwarzbraunes_Bergschaf  195, Charollais_Suisse  77, Kreuzung  74, Ostfriesisches_Milchschaf  43",
Savièse,428.0,6.0,5.4,"Kreuzung  343, Braunkoepfiges_Fleischschaf  28, Walliser_Landschaf  22, Walliser_Schwarznasenschaf  20",
Obersaxen Mundaun,724.0,10.3,62.2,"Weisses_Alpenschaf  249, Kreuzung  104, Spiegelschaf  91, Lacaune  70, Schwarzbraunes_Bergschaf  47",
Winterthur,605.0,8.9,0.5,"Ile_de_France_Suisse  215, Texel  62, Heidschnucke  52, Kreuzung  32, Dorper  27",
Leukerbad,1449.0,21.5,109.0,"Walliser_Schwarznasenschaf  332, Kreuzung  211, Schwarzbraunes_Bergschaf  85, Heidschnucke  43, Weisses_Alpenschaf  35","Grafenried  22, Metzg  7"
Plaffeien,2513.0,37.8,69.6,"Kreuzung  1300, Schwarzbraunes_Bergschaf  88, Scottish_Blackface  42, Saaser_Mutte  29, Suffolk  29",
Gambarogno,48.0,0.9,0.9,"Spiegelschaf  25, Heidschnucke  6",
Binn,245.0,3.8,192.9,Walliser_Schwarznasenschaf  245,
Ormont-Dessous,817.0,12.7,69.1,"Kreuzung  105, Schwarzbraunes_Bergschaf  77, Weisses_Alpenschaf  73, Walliser_Schwarznasenschaf  49, Engadinerschaf  19, Texel  19",
