year,month,breedtype,age1year,age1year,tot
2021,12,Kaltblut,,16.0,16.0
2021,12,Maultier-Maulesel,,,
2021,12,Ponys und Kleinpferde,,34.0,34.0
2021,12,Vollblut,,,
2021,12,Warmblut,,23.0,23.0
2021,12,Wildequiden,,,
2022,1,Esel,,29.0,29.0
2022,1,Hofische Rasse,,,
2022,1,Iberer,,,
2022,1,Kaltblut,,14.0,14.0
2022,1,Maultier-Maulesel,,,
2022,1,Ponys und Kleinpferde,,32.0,32.0
2022,1,Vollblut,,7.0,7.0
2022,1,Warmblut,,29.0,29.0
2022,1,Wildequiden,,,
2022,2,Esel,,21.0,21.0
2022,2,Hofische Rasse,,,
2022,2,Iberer,,,
2022,2,Kaltblut,9.0,16.0,25.0
2022,2,Maultier-Maulesel,,,
2022,2,Ponys und Kleinpferde,,29.0,29.0
2022,2,Vollblut,,,
2022,2,Warmblut,,21.0,21.0
2022,2,Wildequiden,,,
2022,3,Esel,,14.0,14.0
2022,3,Hofische Rasse,,,
2022,3,Iberer,,,
2022,3,Kaltblut,12.0,15.0,27.0
2022,3,Maultier-Maulesel,,,
2022,3,Ponys und Kleinpferde,,22.0,22.0
2022,3,Vollblut,,,
2022,3,Warmblut,,23.0,23.0
2022,3,Wildequiden,,,
2022,4,Esel,,15.0,15.0
2022,4,Hofische Rasse,,,
2022,4,Iberer,,,
2022,4,Kaltblut,7.0,,7.0
2022,4,Maultier-Maulesel,,,
2022,4,Ponys und Kleinpferde,,22.0,22.0
2022,4,Vollblut,,,
2022,4,Warmblut,,20.0,20.0
2022,4,Wildequiden,,,
2022,5,Esel,,19.0,19.0
2022,5,Hofische Rasse,,,
2022,5,Iberer,,,
2022,5,Kaltblut,7.0,13.0,20.0
2022,5,Maultier-Maulesel,,,
2022,5,Ponys und Kleinpferde,,25.0,25.0
2022,5,Vollblut,,,
2022,5,Warmblut,,20.0,20.0
2022,5,Wildequiden,,,
2022,6,Esel,,15.0,15.0
2022,6,Hofische Rasse,,,
2022,6,Iberer,,,
2022,6,Kaltblut,,9.0,9.0
2022,6,Maultier-Maulesel,,,
2022,6,Ponys und Kleinpferde,,19.0,19.0
2022,6,Vollblut,,,
2022,6,Warmblut,,33.0,33.0
2022,6,Wildequiden,,,
2022,7,Esel,,14.0,14.0
2022,7,Hofische Rasse,,,
2022,7,Iberer,,,
2022,7,Kaltblut,,11.0,11.0
2022,7,Maultier-Maulesel,,,
2022,7,Ponys und Kleinpferde,,19.0,19.0
2022,7,Vollblut,,,
2022,7,Warmblut,,24.0,24.0
2022,7,Wildequiden,,,
2022,8,Esel,,12.0,12.0
2022,8,Hofische Rasse,,,
2022,8,Iberer,,,
2022,8,Kaltblut,,10.0,10.0
2022,8,Maultier-Maulesel,,,
2022,8,Ponys und Kleinpferde,,19.0,19.0
2022,8,Vollblut,,,
2022,8,Warmblut,,21.0,21.0
2022,8,Wildequiden,,,
2022,9,Esel,,15.0,15.0
2022,9,Hofische Rasse,,,
2022,9,Iberer,,,
2022,9,Kaltblut,,18.0,18.0
2022,9,Maultier-Maulesel,,,
2022,9,Ponys und Kleinpferde,,17.0,17.0
2022,9,Vollblut,,,
2022,9,Warmblut,,21.0,21.0
2022,9,Wildequiden,,,
2022,10,Esel,,23.0,23.0
2022,10,Hofische Rasse,,,
2022,10,Iberer,,,
2022,10,Kaltblut,,10.0,10.0
2022,10,Maultier-Maulesel,,,
2022,10,Ponys und Kleinpferde,,20.0,20.0
2022,10,Vollblut,,,
2022,10,Warmblut,,24.0,24.0
2022,10,Wildequiden,,,
2022,11,Esel,,27.0,27.0
2022,11,Hofische Rasse,,,
2022,11,Iberer,,,
2022,11,Kaltblut,,9.0,9.0
2022,11,Maultier-Maulesel,,,
2022,11,Ponys und Kleinpferde,,27.0,27.0
2022,11,Vollblut,,,
2022,11,Warmblut,,14.0,14.0
2022,11,Wildequiden,,,
2022,12,Esel,,19.0,19.0
2022,12,Hofische Rasse,,,
2022,12,Iberer,,,
