year,month,breedtype,age1year,age1year,tot
2022,5,Warmblut,,91.0,91.0
2022,5,Wildequiden,,,
2022,6,Esel,,11.0,11.0
2022,6,Hofische Rasse,,,
2022,6,Iberer,,9.0,9.0
2022,6,Kaltblut,,38.0,38.0
2022,6,Maultier-Maulesel,,,
2022,6,Ponys und Kleinpferde,,55.0,55.0
2022,6,Vollblut,,16.0,16.0
2022,6,Warmblut,,109.0,109.0
2022,6,Wildequiden,,,
2022,7,Esel,,13.0,13.0
2022,7,Hofische Rasse,,,
2022,7,Iberer,,8.0,8.0
2022,7,Kaltblut,,40.0,40.0
2022,7,Maultier-Maulesel,,,
2022,7,Ponys und Kleinpferde,,69.0,69.0
2022,7,Vollblut,,23.0,23.0
2022,7,Warmblut,,95.0,95.0
2022,7,Wildequiden,,,
2022,8,Esel,,,
2022,8,Hofische Rasse,,6.0,6.0
